disaster_number,incident_type,designated_area,state,region,programs_declared
1644,Severe Storm(s),"York (County)(in MSA 6400,6450)",ME,Northeast,4
1643,Severe Storm(s),Belknap (County),NH,Northeast,4
1648,Flood,Becker (County),MN,Midwest,2
1646,Severe Storm(s),Madera (County),CA,West,2
1647,Severe Storm(s),Perkins (County),SD,Midwest,2
1645,Severe Storm(s),Cass (County),ND,Midwest,2
1649,Severe Storm(s),Sullivan (County),PA,Northeast,2
1650,Severe Storm(s),Rensselaer (County),NY,Northeast,2
1652,Severe Storm(s),Caroline (County),MD,Northeast,2
1651,Severe Storm(s),Lucas (County),OH,Midwest,3
1654,Severe Storm(s),Sussex (County),DE,Northeast,2
1653,Severe Storm(s),Warren (County),NJ,Northeast,4
1655,Severe Storm(s),Arlington (County),VA,Southeast,2
1656,Severe Storm(s),Lake (County),OH,Midwest,4
1657,Flood,Lower Kuskokwim Regional Educational Attendance Area,AK,West,2
1658,Severe Storm(s),Hudspeth (County),TX,Southwest,2
1659,Severe Storm(s),Guadalupe (County),NM,Southwest,2
1660,Severe Storm(s),Graham (County),AZ,Southwest,2
1661,Severe Storm(s),Charles City (County),VA,Southeast,2
1662,Severe Storm(s),Lake (County),IN,Midwest,3
1663,Severe Storm(s),Denali (Borough),AK,West,2
1664,Earthquake,Honolulu (County),HI,West,2
1665,Severe Storm(s),Erie (County),NY,Northeast,4
1666,Fire,Lower Yukon Regional Educational Attendance Area,AK,West,2
1668,Severe Storm(s),Ouachita (Parish),LA,Southeast,1
1667,Severe Storm(s),St. Louis,MO,Midwest,2
1669,Severe Storm(s),Chugach Regional Educational Attendance Area,AK,West,2
1671,Severe Storm(s),Chelan (County),WA,West,2
1670,Severe Storm(s),Herkimer (County),NY,Northeast,2
1673,Severe Storm(s),Boone (County),MO,Midwest,2
1672,Severe Storm(s),Lincoln (County),OR,West,2
1675,Severe Storm(s),Cheyenne (County),KS,Midwest,2
1674,Severe Storm(s),Blaine (County),NE,Midwest,2
1676,Severe Ice Storm,Boone (County),MO,Midwest,2
1678,Severe Storm(s),Caddo (County),OK,Southwest,2
1677,Severe Storm(s),Beaver (County),OK,Southwest,2
1679,Severe Storm(s),Seminole (County),FL,Southeast,4
1680,Severe Storm(s),Volusia (County),FL,Southeast,3
1681,Severe Ice Storm,Logan (County),IL,Midwest,2
1682,Severe Storm(s),Pend Oreille (County),WA,West,2
1683,Severe Storm(s),Lincoln (County),OR,West,2
1684,Severe Storm(s),Sullivan (County),PA,Northeast,2
1685,Severe Storm(s),Orleans (Parish),LA,Southeast,3
1686,Severe Storm(s),Miller (County),GA,Southeast,1
1687,Severe Storm(s),Jefferson (County),AL,Southeast,3
1689,Freezing,Merced (County),CA,West,2
1688,Severe Storm(s),Mitchell (County),IA,Midwest,2
1690,Severe Storm(s),Curry (County),NM,Southwest,3
1691,Flood,Waldo (County),ME,Northeast,2
1692,Severe Storm(s),Essex (County),NY,Northeast,2
1693,Severe Storm(s),Lincoln (County),ME,Northeast,4
1694,Severe Storm(s),Mercer (County),NJ,Northeast,4
1695,Severe Storm(s),Carroll (County),NH,Northeast,2
1697,Severe Storm(s),Atascosa (County),TX,Southwest,3
1696,Severe Storm(s),Gilmer (County),WV,Southeast,2
1698,Severe Storm(s),Windham (County),VT,Northeast,2
1699,Severe Storm(s),Doniphan (County),KS,Midwest,2
1700,Severe Storm(s),"Litchfield (County)(in (P)MSA 1170,1930,3280,8880)",CT,Northeast,4
1701,Severe Storm(s),Berkshire (County),MA,Northeast,2
1702,Severe Storm(s),Day (County),SD,Midwest,2
1705,Severe Storm(s),Clarke (County),IA,Midwest,2
1703,Severe Storm(s),Lawrence (County),KY,Southeast,2
1704,Severe Storm(s),"Newport (County)(in PMSA 2480,6480)",RI,Northeast,2
1706,Severe Storm(s),Keya Paha (County),NE,Midwest,2
1707,Severe Storm(s),Cotton (County),OK,Southwest,2
1708,Severe Storm(s),Saline (County),MO,Midwest,2
1709,Severe Storm(s),Bosque (County),TX,Southwest,2
1711,Severe Storm(s),Bourbon (County),KS,Midwest,4
1710,Severe Storm(s),Sullivan (County),NY,Northeast,2
1712,Severe Storm(s),Craig (County),OK,Southwest,2
1713,Severe Storm(s),McHenry (County),ND,Midwest,2
1714,Severe Storm(s),Greeley (County),NE,Midwest,2
1715,Severe Storm(s),Orange (County),VT,Northeast,2
1716,Severe Storm(s),Oxford (County),ME,Northeast,2
1717,Severe Storm(s),Fillmore (County),MN,Midwest,4
1718,Severe Storm(s),Ellis (County),OK,Southwest,2
1719,Severe Storm(s),Iowa (County),WI,Midwest,3
1720,Severe Storm(s),Seneca (County),OH,Midwest,3
1721,Severe Storm(s),Dundy (County),NE,Midwest,2
1722,Severe Storm(s),Winnebago (County),IL,Midwest,3
1723,Severe Storm(s),Pontotoc (County),OK,Southwest,2
1724,Severe Storm(s),Queens (County),NY,Northeast,3
1725,Severe Storm(s),Cass (County),ND,Midwest,2
1726,Severe Storm(s),Grand Forks (County),ND,Midwest,4
1727,Severe Storm(s),Humboldt (County),IA,Midwest,2
1728,Severe Storm(s),Laclede (County),MO,Midwest,2
1729,Severe Storm(s),DeKalb (County),IL,Midwest,4
1730,Severe Storm(s),Jones (County),TX,Southwest,3
1731,Fire,Riverside (County),CA,West,4
1732,Severe Storm(s),Lake (County),IN,Midwest,3
1734,Severe Storm(s),Jefferson (County),WA,West,2
1733,Severe Storm(s),Washington (County),OR,West,3
1735,Severe Ice Storm,Craig (County),OK,Southwest,2
1736,Severe Ice Storm,Atchison (County),MO,Midwest,2
1737,Severe Ice Storm,Clarke (County),IA,Midwest,2
1738,Severe Storm(s),Lyon (County),NV,West,4
1739,Severe Ice Storm,Gage (County),NE,Midwest,2
1740,Severe Storm(s),Lake (County),IN,Midwest,3
1741,Severe Storm(s),Atchison (County),KS,Midwest,2
1742,Severe Storm(s),Maries (County),MO,Midwest,2
1743,Severe Storm(s),Maui (County),HI,West,2
1745,Severe Storm(s),Fentress (County),TN,Southeast,2
1744,Severe Storm(s),Sharp (County),AR,Southeast,4
1746,Severe Storm(s),Metcalfe (County),KY,Southeast,2
1747,Severe Storm(s),Livingston (County),IL,Midwest,3
1748,Severe Ice Storm,Madison (County),MO,Midwest,2
1749,Severe Storm(s),Moniteau (County),MO,Midwest,1
1750,Severe Storm(s),Fulton (County),GA,Southeast,4
1751,Severe Storm(s),Clark (County),AR,Southeast,2
1752,Severe Storm(s),Pittsburg (County),OK,Southwest,2
1753,Severe Storm(s),Washington (County),MS,Southeast,3
1754,Flood,Latimer (County),OK,Southwest,2
1755,Flood,Somerset (County),ME,Northeast,2
1756,Severe Storm(s),Latimer (County),OK,Southwest,4
1757,Severe Storm(s),Crittenden (County),KY,Southeast,2
1758,Severe Storm(s),Grant (County),AR,Southeast,4
1759,Snow,Bennett (County),SD,Midwest,2
1761,Severe Storm(s),Carroll (County),GA,Southeast,4
1760,Severe Storm(s),Barry (County),MO,Midwest,3
1762,Severe Storm(s),Larimer (County),CO,West,3
1763,Severe Storm(s),Lyon (County),IA,Midwest,2
1764,Severe Storm(s),Hinds (County),MS,Southeast,4
1765,Severe Storm(s),Johnson (County),NE,Midwest,2
1766,Severe Storm(s),Grant (County),IN,Midwest,3
1767,Severe Storm(s),Carter (County),MT,West,2
1768,Severe Storm(s),Columbia (County),WI,Midwest,4
1769,Severe Storm(s),Marion (County),WV,Southeast,4
1770,Severe Storm(s),Furnas (County),NE,Midwest,2
1771,Severe Storm(s),Randolph (County),IL,Midwest,2
1773,Severe Storm(s),Pemiscot (County),MO,Midwest,2
1772,Severe Storm(s),Nobles (County),MN,Midwest,2
1776,Severe Storm(s),Cherokee (County),KS,Midwest,2
1775,Severe Storm(s),Grant (County),OK,Southwest,2
1774,Severe Storm(s),Buffalo (County),SD,Midwest,2
1777,Severe Storm(s),Missaukee (County),MI,Midwest,2
1778,Severe Storm(s),Addison (County),VT,Northeast,2
1779,Severe Storm(s),Sarpy (County),NE,Midwest,2
1780,Hurricane,Bexar (County),TX,Southwest,2
1781,Flood,Kootenai (County),ID,West,2
1782,Severe Storm(s),Belknap (County),NH,Northeast,2
1783,Severe Storm(s),Otero (County),NM,Southwest,2
1784,Severe Storm(s),Grand Isle (County),VT,Northeast,2
1785,Severe Storm(s),St. Johns (County),FL,Southeast,2
1786,Hurricane,De Soto (Parish),LA,Southeast,2
1787,Severe Storm(s),Grafton (County),NH,Northeast,2
1788,Severe Storm(s),Cumberland (County),ME,Northeast,2
1789,Hurricane,Baldwin (County),AL,Southeast,2
1790,Severe Storm(s),Washington (County),VT,Northeast,2
1792,Hurricane,St. Charles (Parish),LA,Southeast,2
1791,Hurricane,Wharton (County),TX,Southwest,2
1793,Hurricane,Lincoln (County),AR,Southeast,2
1794,Hurricane,Stone (County),MS,Southeast,2
1795,Severe Storm(s),Dubois (County),IN,Midwest,2
1796,Severe Storm(s),North Slope (Borough),AK,West,2
1797,Severe Storm(s),Baldwin (County),AL,Southeast,2
1799,Severe Storm(s),Merrimack (County),NH,Northeast,2
1800,Severe Storm(s),Montgomery (County),IL,Midwest,2
1801,Severe Storm(s),Beaufort (County),NC,Southeast,2
1803,Severe Storm(s),Ellis (County),OK,Southwest,1
1802,Severe Storm(s),Breckinridge (County),KY,Southeast,2
1804,Severe Storm(s),Miller (County),AR,Southeast,2
1805,Severe Storm(s),Carroll (County),OH,Midwest,2
1806,Hurricane,Franklin (County),FL,Southeast,2
1808,Severe Storm(s),Harper (County),KS,Midwest,2
1809,Severe Storm(s),Christian (County),MO,Midwest,2
1810,Fire,Riverside (County),CA,West,3
1811,Snow,Oglala Sioux Tribe of the Pine Ridge Reservation,SD,Midwest,2
