disaster_number,state,incident_type,declaration_title,incident_begin_date,incident_end_date,designated_area,incident_month,incident_duration,incident_begin_year,region,season,season_number,programs_declared,region_number
675,LA,Flood,Severe Storms And Flooding,1983-01-11,1983-01-11,Beauregard (Parish),1,1,1983,Southeast,Winter,4,1,2
676,WA,Flood,"Severe Storms, High Tides & Flooding",1983-01-27,1983-01-27,Whatcom (County),1,1,1983,West,Winter,4,1,4
677,CA,Coastal Storm,"Coastal Storms, Floods, Slides & Tornadoes",1983-01-21,1983-03-30,Riverside (County),1,68,1983,West,Winter,4,2,4
678,MS,Severe Storm(s),"Severe Storms, Flooding &  Tornadoes",1983-04-16,1983-04-16,Lamar (County),4,1,1983,Southeast,Spring,1,2,2
679,LA,Flood,Severe Storms And Flooding,1983-04-20,1983-04-20,East Baton Rouge (Parish),4,1,1983,Southeast,Spring,1,2,2
680,UT,Flood,"Severe Storms, Landslides & Flooding",1983-04-13,1983-04-13,Weber (County),4,1,1983,West,Spring,1,2,4
682,CA,Earthquake,Coalinga Earthquake,1983-05-05,1983-05-05,Kings (County),5,1,1983,West,Spring,1,1,4
683,MS,Severe Storm(s),"Severe Storms, Tornadoes, And Flooding",1983-06-01,1983-06-01,Madison (County),6,1,1983,Southeast,Summer,2,1,2
684,IL,Severe Storm(s),"Severe Storms, Tornadoes & Flooding",1983-06-06,1983-06-06,Franklin (County),6,1,1983,Midwest,Summer,2,1,3
685,OK,Flood,Severe Storms And Flooding,1983-06-10,1983-06-10,Hughes (County),6,1,1983,Southwest,Summer,2,1,5
687,CA,Flood,Flooding,1983-06-16,1984-02-01,Imperial (County),6,230,1983,West,Summer,2,2,4
686,AZ,Flood,Flooding,1983-06-16,1983-06-20,Yuma (County),6,4,1983,Southwest,Summer,2,2,5
688,AR,Flood,Severe Storms & Flooding,1983-07-02,1983-07-03,Sevier (County),7,1,1983,Southeast,Summer,2,1,2
689,TX,Hurricane,Hurricane Alicia,1983-08-18,1983-08-20,Matagorda (County),8,2,1983,Southwest,Summer,2,1,5
690,CA,Flood,Flash Flooding,1983-08-15,1983-08-18,San Bernardino (County),8,3,1983,West,Summer,2,1,4
691,AZ,Flood,Severe Storms & Flooding,1983-09-23,1983-10-10,Pinal (County),9,17,1983,Southwest,Autumn,3,2,5
692,NM,Flood,Severe Storms And Flooding,1983-09-18,1983-10-02,Catron (County),9,14,1983,Southwest,Autumn,3,1,5
693,OK,Flood,Severe Storms & Flooding,1983-10-19,1983-10-23,Okfuskee (County),10,4,1983,Southwest,Autumn,3,1,5
694,ID,Earthquake,Earthquake,1983-10-28,1984-01-25,Gooding (County),10,89,1983,West,Autumn,3,1,4
695,AL,Severe Storm(s),"Severe Storms,Flooding And Tornadoes",1983-12-02,1983-12-06,Calhoun (County),12,4,1983,Southeast,Winter,4,1,2
696,TX,Freezing,Severe Freezing Weather,1983-12-22,1983-12-26,Cameron (County),12,4,1983,Southwest,Winter,4,1,5
697,ID,Snow,Ice Jams And Flooding,1984-01-17,1984-04-20,Lemhi (County),1,94,1984,West,Winter,4,2,4
698,FL,Freezing,Freezing Temperatures,1983-12-24,1983-12-26,Seminole (County),12,2,1983,Southeast,Winter,4,1,2
699,NC,Tornado,Severe Storms & Tornadoes,1984-03-28,1984-03-29,Pitt (County),3,1,1984,Southeast,Spring,1,2,2
700,SC,Tornado,Severe Storms & Tornadoes,1984-03-28,1984-03-29,Laurens (County),3,1,1984,Southeast,Spring,1,1,2
701,NJ,Flood,Coastal Storms & Flooding,1984-03-28,1984-04-08,Cape May (County),3,11,1984,Northeast,Spring,1,2,1
702,NY,Flood,Coastal Storms & Flooding,1984-03-28,1984-04-08,New York (County),3,11,1984,Northeast,Spring,1,1,1
